"area","value","date","unit","description","name","iso3c"
"Afghanistan",2.38430907940751,2018,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.54783303994568,2017,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.77803478841236,2016,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.07705362914441,2015,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.35560233082199,2014,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.49459192739625,2013,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.40760003260595,2012,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.14310555651301,2011,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.74661463795293,2010,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.39697830237036,2009,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.26827304079294,2008,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.49383039084495,2007,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.9905238360968,2006,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.68269988149014,2005,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",4.32155951673842,2004,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",4.66834379545461,2003,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",4.4967187466326,2002,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",3.90280496415438,2001,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.97505722281038,2000,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.17042851112236,1999,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",1.9473438616857,1998,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",2.63650176396731,1997,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",4.0194777158615,1996,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",5.88427856371589,1995,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",7.65979553393712,1994,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",8.790896706627,1993,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",8.54610700459867,1992,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",6.90012448590171,1991,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",4.47695437953718,1990,"%","Annual population growth","Population growth","Afghanistan"
"Afghanistan",25.495,2018,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",25.25,2017,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",25.02,2016,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",24.803,2015,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",24.587,2014,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",24.373,2013,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",24.16,2012,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",23.948,2011,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",23.737,2010,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",23.528,2009,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",23.32,2008,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",23.113,2007,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.907,2006,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.703,2005,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.5,2004,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.353,2003,"%","Urban population share","Urban population","Afghanistan"
